# directory.dat
#
# Anthony Grasso, Canon
# Sep., 2009
#
# This file describes the directory tree structure for the SVG 1.1 2nd Edition test suite
# this is a tab delimited file
# feilds are:
# section name, chapter or .section number, title
#
# Field 1, section name
# section names are 'chapter' and 'chapter-section'
# at the time of creation, chapter names were the same as the html names in the 1.0 spec.
# section names in the spec are too verbose to fit into the test file naming convention so they
# do not mirror the links in the spec.
# 
# Field 2, chapter or .section number
# chapters are numbered as integers, sections are preceded by a decimal to 
# differentiate them.
# The reason I did this was to avoid having a huge renumbering task in the event that
# there was a chapter added or deleted.
#
# Field 3, Title
# This is the title of the section as it appears in the spec.
#
intro	1	Introduction
filters-dom	.25	DOM interfaces	#DOMInterfaces
interact	16	Interactivity
interact-intro	.1	Introduction	#Introduction
interact-events	.2	Complete list of supported events	#SVGEvents
interact-ui	.3	User interface events	#UIEvents
interact-pevents	.4	Pointer events	#PointerEvents
interact-order	.5	Processing order for user interface events	#UIEventProcessing
interact-prop	.6	The 'pointer-events' property	#PointerEventsProperty
interact-zoom	.7	Magnification and panning	#EnableZoomAndPanControls
interact-cursor	.8	Cursors	#Cursors
interact-dom	.9	DOM interfaces	#DOMInterfaces
linking	17	Linking
linking-a	.1	Links out of SVG content: the 'a' element	#Links
linking-uri	.2	Linking into SVG content: URI fragments and SVG views	#LinksIntoSVG
linking-dom	.3	DOM interfaces	#DOMInterfaces
script	18	Scripting
script-lang	.1	Specifying the scripting language	#ScriptingLanguage
script-elem	.2	The 'script' element	#ScriptElement
script-handle	.3	Event handling	#EventHandling
script-attr	.4	Event attributes	#EventAttributes
script-dom	.5	DOM interfaces	#DOMInterfaces
animate	19	Animation
animate-intro	.1	Introduction	#Introduction
animate-elem	.2	Animation elements	#AnimationElements
animate-usingdom	.3	Animation using the SVG DOM	#DOMAnimationExample
animate-dom	.4	DOM interfaces	#DOMInterfaces
fonts	20	Fonts
fonts-intro	.1	Introduction	#Introduction
fonts-svg	.2	Overview of SVG fonts	#SVGFontsOverview
fonts-elem	.3	The 'font' element	#FontElement
fonts-glyph	.4	The 'glyph' element	#GlyphElement
fonts-missing	.5	The 'missing-glyph' element	#MissingGlyphElement
fonts-select	.6	Glyph selection rules	#GlyphSelectionRules
fonts-kern	.7	The 'hkern' and 'vkern' elements	#KernElements
fonts-desc	.8	Describing a font	#FontDescriptions
fonts-dom	.9	DOM interfaces	#DOMInterfaces
metadata	21	Metadata
metadata-intro	.1	Introduction	#Introduction
metadata-meta	.2	The 'metadata' element	#MetadataElement
metadata-example	.3	An example	#Example
metadata-dom	.4	DOM interfaces	#DOMInterfaces
backward	22	Backwards Compatibility
extend	23	Extensibility
extend-namespace	.1	Foreign namespaces and private data	#ForeignNamespaces
extend-fo	.2	Embedding foreign object types	#EmbeddingForeignObjects
extend-foelem	.3	The 'foreignObject' element	#ForeignObjectElement
extend-example	.4	An example	#AnExample
extend-private	.5	Adding private elements and attributes to the DTD	#PrivateElementsAndAttribute
extend-dom	.6	DOM interfaces	#DOMInterfaces
conform	G	Conformance Criteria
conform-intro	.1	Introduction	#Introduction
conform-frag	.2	Conforming SVG Document Fragments	#ConformingSVGDocuments
conform-standalone	.3	Conforming SVG Stand-Alone Files	#ConformingSVGStandAloneFiles
conform-gen	.4	Conforming SVG Generators	#ConformingSVGGenerators
conform-subtree	.5	Conforming SVG DOM Subtree	#ConformingSVGDOMSubtree
conform-interp	.6	Conforming SVG Interpreters	#ConformingSVGInterpreters
conform-viewers	.7	Conforming SVG Viewers	#ConformingSVGViewers
